"gene","logFC","logCPM","PValue","FDR","topDE"
"AC009093.9",0.865177754895673,5.7459200614919,1.56915411159402e-07,1.7875434426547e-05,"NA"
"THSD8",1.02029559596278,5.4107508437202,1.65813034277166e-07,1.87785685486058e-05,"Up"
"FPR1",0.704102382003934,6.15094411730743,1.66970014948247e-07,1.8795882207263e-05,"NA"
"AL133445.2",0.953407683408392,5.54154996178095,1.67907034072937e-07,1.8795882207263e-05,"NA"
"AL162741.1",-0.900846665142544,5.06165465061244,1.70008704341706e-07,1.89217733809281e-05,"NA"
"AL138955.1",0.946577678242786,5.56696493555032,1.87021508075519e-07,2.06963344308029e-05,"NA"
"AC239809.2",-0.949550367111807,4.96030133738657,1.89939441907171e-07,2.08998138180357e-05,"NA"
"AC017099.1",0.965236006835062,5.49721225875078,1.94529019337914e-07,2.12838925903844e-05,"NA"
"SHLD2P3",1.10994543584446,5.27375993008579,1.97547216070641e-07,2.14926931821575e-05,"Up"
"CDK1",0.828549155332926,5.78797110683292,2.05085852180196e-07,2.21882268900652e-05,"NA"
"AC025423.2",0.76825074142326,5.93637780237712,2.09995774869629e-07,2.25932120895847e-05,"NA"
"AC008581.2",0.811157988073955,5.84250746341485,2.1680794196362e-07,2.31972519561738e-05,"NA"
"CKS2",0.882930916402762,5.68051319819112,2.2108688817522e-07,2.35251026175897e-05,"NA"
"KLRB1",0.897218833214123,5.64130226052146,2.28509106398889e-07,2.41820074017534e-05,"NA"
"AL035078.4",1.27374193216015,5.54388606676058,2.35272157616635e-07,2.47623945891509e-05,"Up"
"TMEM240",-0.877118104850187,5.08053474190937,2.50236020055339e-07,2.619497710482e-05,"NA"
"E2F7",1.03363799376975,5.39926833671162,2.52804770015013e-07,2.63215977210255e-05,"Up"
"C12orf74",1.08266193495868,5.26828180954957,2.58205251606554e-07,2.67401224738638e-05,"Up"
"ANKRD44-IT1",0.915846850825461,5.58636509587324,2.6081173989612e-07,2.6866383802278e-05,"NA"
"NPIPA8",-0.779308273665758,5.33965902177463,2.76116001036666e-07,2.82923940533126e-05,"NA"
"C5orf58",0.873223594490428,5.65041140877264,2.9831109559277e-07,3.03106871372879e-05,"NA"
"SHOX",-1.5962478513036,4.7619721132854,2.9894357343912e-07,3.03106871372879e-05,"Down"
"AL359697.1",1.09478904576233,5.26284114853143,3.08434782081935e-07,3.11101457802018e-05,"Up"
"LINC01786",-0.854411862768585,5.11527112439414,3.15083474603197e-07,3.16160962132928e-05,"NA"
"FTH1P7",1.14441839530891,5.20681634695821,3.26846899689928e-07,3.25113516452008e-05,"Up"
"BAIAP2L2",-0.925857249189574,4.94668605202311,3.27363088444395e-07,3.25113516452008e-05,"NA"
"AL135999.2",-0.920419342488539,4.97024966772717,3.3024651596148e-07,3.26303776944389e-05,"NA"
"CD300LF",0.903328261098699,5.60841572989283,3.32098324259741e-07,3.26467824751987e-05,"NA"
"FAM111B",0.829033450536628,5.74432377628044,3.35281200961387e-07,3.27932107970617e-05,"NA"
"HIST1H3F",0.860385379918124,5.6831732873896,3.57779713850882e-07,3.48178991881215e-05,"NA"
"RAD51AP1",0.849996647704009,5.71873478508891,3.6560588248537e-07,3.54016176010584e-05,"NA"
"DTHD1",0.858666383572069,5.66967500976633,3.72386174969502e-07,3.58787595246735e-05,"NA"
"AC133065.1",1.1332780449473,5.1872236007592,3.8583067901118e-07,3.69900838105471e-05,"Up"
